SampleNumber,FileName,Condition
0,SG19378659_257236339458_S001_GE1_1200_Jun14_1_1.txt,mock
1,SG19378659_257236339458_S001_GE1_1200_Jun14_1_2.txt,siVIM-270
2,SG19378659_257236339458_S001_GE1_1200_Jun14_1_3.txt,siVIM-270(2'OMe2-5)
3,SG19378659_257236339458_S001_GE1_1200_Jun14_1_4.txt,siVIM-270(2'OMe6-8)
4,SG19378659_257236339458_S001_GE1_1200_Jun14_2_1.txt,siVIM-270(2'OMe2-8)
5,US91503671_253949442637_S01_GE1_105_Dec08_2_1.txt,mock(1)
6,US91503671_253949442637_S01_GE1_105_Dec08_2_3.txt,siVIM-270(LNA3-5)
7,US91503671_253949442637_S01_GE1_105_Dec08_2_4.txt,siVIM-270(LNA2-8)
8,US91503671_253949442637_S01_GE1_105_Dec08_1_1.txt,mock(2)
9,US91503671_253949442637_S01_GE1_105_Dec08_1_2.txt,siVIM-270
10,US91503671_253949442637_S01_GE1_105_Dec08_1_3.txt,siVIM-270(2'OMe4-6)
11,US91503671_253949442637_S01_GE1_105_Dec08_1_4.txt,siVIM-270(2'OMe3-7)
12,US91503671_253949442637_S01_GE1_105_Dec08_2_2.txt,siVIM-270(2'OMe2-8)
